Tabel 1.4,,,,
"Aantal wanbetalers met een bestuursrechtelijke premie per gemeente, absoluut en relatief, 31 december 2016",,,,
,,,,
Gemeentecode,Gemeente,,,
0637,Zoetermeer,"2,160",,2.2
0638,Zoeterwoude,50,,0.7
0642,Zwijndrecht,730,,2.1
0654,Borsele,130,,0.7
0664,Goes,290,,1.0
0668,West Maas en Waal,150,,1.0
0677,Hulst,200,,0.9
0678,Kapelle,50,,0.5
0687,Middelburg,460,,1.2
0689,Giessenlanden,100,,0.9
0703,Reimerswaal,180,,1.1
0707,Zederik,100,,0.9
0715,Terneuzen,720,,1.6
0716,Tholen,260,,1.3
0717,Veere,80,,0.5
0718,Vlissingen,850,,2.3
0733,Lingewaal,100,,1.1
0736,De Ronde Venen,340,,1.0
0737,Tytsjerksteradiel,250,,1.0
0738,Aalburg,90,,0.9
0743,Asten,110,,0.8
0744,Baarle-Nassau,50,,0.9
0748,Bergen op Zoom,"1,160",,2.2
0753,Best,190,,0.8
0755,Boekel,50,,0.7
0756,Boxmeer,190,,0.8
0757,Boxtel,320,,1.3
0758,Breda,"2,580",,1.8
0762,Deurne,160,,0.6
0765,Pekela,360,,3.5
0766,Dongen,240,,1.2
0770,Eersel,70,,0.4
0772,Eindhoven,"4,040",,2.2
0777,Etten-Leur,440,,1.3
0779,Geertruidenberg,200,,1.1
0784,Gilze en Rijen,220,,1.0
0785,Goirle,110,,0.6
0786,Grave,120,,1.2
0788,Haaren,70,,0.6
0794,Helmond,"1,630",,2.3
0796,'s-Hertogenbosch,"2,270",,1.8
0797,Heusden,410,,1.2
0798,Hilvarenbeek,70,,0.5
0809,Loon op Zand,200,,1.1
0815,Mill en Sint Hubert,80,,0.9
0820,"Nuenen, Gerwen en Nederwetten",130,,0.7
0823,Oirschot,100,,0.7
0824,Oisterwijk,150,,0.7
0826,Oosterhout,640,,1.4
0828,Oss,"1,290",,1.8
0840,Rucphen,290,,1.5
0844,Schijndel,220,,1.2
0845,Sint-Michielsgestel,160,,0.7
0846,Sint-Oedenrode,110,,0.8
0847,Someren,90,,0.6
0848,Son en Breugel,100,,0.8
0851,Steenbergen,270,,1.3
0852,Waterland,90,,0.7
0855,Tilburg,"4,050",,2.3
0856,Uden,420,,1.3
0858,Valkenswaard,280,,1.1
0860,Veghel,330,,1.1
0861,Veldhoven,380,,1.1
0865,Vught,220,,1.1
0866,Waalre,90,,0.7
0867,Waalwijk,640,,1.7
0870,Werkendam,180,,0.8
0873,Woensdrecht,230,,1.3
0874,Woudrichem,80,,0.7
0879,Zundert,250,,1.4
0880,Wormerland,160,,1.3
0881,Onderbanken,130,,1.9
0882,Landgraaf,640,,2.0
0888,Beek,180,,1.4
0889,Beesel,130,,1.2
0893,Bergen (L.),110,,1.0
0899,Brunssum,470,,2.0
0907,Gennep,180,,1.3
0917,Heerlen,"2,570",,3.5
0928,Kerkrade,"1,260",,3.2
0935,Maastricht,"2,160",,2.0
0938,Meerssen,160,,1.0
0944,Mook en Middelaar,40,,0.6
0946,Nederweert,110,,0.8
0951,Nuth,150,,1.1
0957,Roermond,920,,2.0
0962,Schinnen,110,,1.0
0965,Simpelveld,120,,1.3
0971,Stein,240,,1.1
0981,Vaals,130,,1.6
0983,Venlo,"1,750",,2.1
0984,Venray,500,,1.4
0986,Voerendaal,70,,0.7
0988,Weert,460,,1.1
0994,Valkenburg aan de Geul,230,,1.6
0995,Lelystad,"2,370",,4.0
1507,Horst aan de Maas,210,,0.6
1509,Oude IJsselstreek,390,,1.2
1525,Teylingen,220,,0.8
1581,Utrechtse Heuvelrug,430,,1.1
1586,Oost Gelre,170,,0.7
1598,Koggenland,110,,0.6
1621,Lansingerland,370,,0.8
1640,Leudal,240,,0.8
1641,Maasgouw,180,,0.9
1651,Eemsmond,220,,1.7
1652,Gemert-Bakel,240,,1.0
1655,Halderberge,360,,1.5
1658,Heeze-Leende,80,,0.7
1659,Laarbeek,120,,0.7
1663,De Marne,160,,2.0
1667,Reusel-De Mierden,80,,0.7
1669,Roerdalen,230,,1.3
1674,Roosendaal,"1,240",,2.0
1676,Schouwen-Duiveland,220,,0.8
1680,Aa en Hunze,250,,1.2
1681,Borger-Odoorn,300,,1.5
1684,Cuijk,280,,1.4
1685,Landerd,70,,0.5
1690,De Wolden,110,,0.6
1695,Noord-Beveland,70,,1.1
1696,Wijdemeren,170,,0.9
1699,Noordenveld,300,,1.2
1700,Twenterand,310,,1.2
1701,Westerveld,150,,1.0
1702,Sint Anthonis,40,,0.4
1705,Lingewaard,340,,0.9
1706,Cranendonck,150,,0.9
1708,Steenwijkerland,500,,1.4
1709,Moerdijk,390,,1.3
1711,Echt-Susteren,300,,1.1
1714,Sluis,180,,0.9
1719,Drimmelen,160,,0.7
1721,Bernheze,220,,0.9
1722,Ferwerderadiel,100,,1.4
1723,Alphen-Chaam,60,,0.7
1724,Bergeijk,120,,0.8
1728,Bladel,90,,0.6
1729,Gulpen-Wittem,120,,1.0
1730,Tynaarlo,220,,0.8
1731,Midden-Drenthe,320,,1.2
1734,Overbetuwe,350,,1.0
1735,Hof van Twente,210,,0.8
1740,Neder-Betuwe,220,,1.3
1742,Rijssen-Holten,210,,0.7
1771,Geldrop-Mierlo,440,,1.4
1773,Olst-Wijhe,110,,0.8
1774,Dinkelland,110,,0.5
1783,Westland,680,,0.8
1842,Midden-Delfland,80,,0.6
1859,Berkelland,310,,0.9
1876,Bronckhorst,180,,0.6
1883,Sittard-Geleen,"1,910",,2.4
1884,Kaag en Braassem,150,,0.7
1891,Dantumadiel,160,,1.1
1892,Zuidplas,390,,1.2
1894,Peel en Maas,230,,0.7
1895,Oldambt,830,,2.7
1896,Zwartewaterland,140,,0.8
1900,Súdwest-Fryslân,890,,1.3
1901,Bodegraven-Reeuwijk,260,,1.0
1903,Eijsden-Margraten,170,,0.8
1904,Stichtse Vecht,590,,1.2
1908,Menameradiel,110,,1.0
1911,Hollands Kroon,370,,1.0
1916,Leidschendam-Voorburg,900,,1.5
1924,Goeree-Overflakkee,310,,0.8
1926,Pijnacker-Nootdorp,390,,1.0
1927,Molenwaard,210,,1.0
1930,Nissewaard,"1,420",,2.1
1931,Krimpenerwaard,420,,1.0
1940,De Fryske Marren,440,,1.1
1942,Gooise Meren,550,,1.3
1945,Berg en Dal,310,,1.1
1955,Montferland,410,,1.4
1987,Menterwolde,190,,1.9
,,,,
Bron: CBS,,,,
,,,,
Percentage t.o.v. van gehele bevolking in de betreffende groep.,,,,
"Aantallen afgerond op veelvouden van 10, percentages op veelvouden van 0,1. ",,,,
"Als aantallen afgerond 0 zijn, zijn bijbehorende percentages ook afgerond op 0 en weergegeven als '-'.",,,,
